frame_idx,lm0_x,lm0_y,lm0_z,lm0_v,lm1_x,lm1_y,lm1_z,lm1_v,lm2_x,lm2_y,lm2_z,lm2_v,lm3_x,lm3_y,lm3_z,lm3_v,lm4_x,lm4_y,lm4_z,lm4_v,lm5_x,lm5_y,lm5_z,lm5_v,lm6_x,lm6_y,lm6_z,lm6_v,lm7_x,lm7_y,lm7_z,lm7_v,lm8_x,lm8_y,lm8_z,lm8_v,lm9_x,lm9_y,lm9_z,lm9_v,lm10_x,lm10_y,lm10_z,lm10_v,lm11_x,lm11_y,lm11_z,lm11_v,lm12_x,lm12_y,lm12_z,lm12_v,lm13_x,lm13_y,lm13_z,lm13_v,lm14_x,lm14_y,lm14_z,lm14_v,lm15_x,lm15_y,lm15_z,lm15_v,lm16_x,lm16_y,lm16_z,lm16_v,lm17_x,lm17_y,lm17_z,lm17_v,lm18_x,lm18_y,lm18_z,lm18_v,lm19_x,lm19_y,lm19_z,lm19_v,lm20_x,lm20_y,lm20_z,lm20_v,lm21_x,lm21_y,lm21_z,lm21_v,lm22_x,lm22_y,lm22_z,lm22_v,lm23_x,lm23_y,lm23_z,lm23_v,lm24_x,lm24_y,lm24_z,lm24_v,lm25_x,lm25_y,lm25_z,lm25_v,lm26_x,lm26_y,lm26_z,lm26_v,lm27_x,lm27_y,lm27_z,lm27_v,lm28_x,lm28_y,lm28_z,lm28_v,lm29_x,lm29_y,lm29_z,lm29_v,lm30_x,lm30_y,lm30_z,lm30_v,lm31_x,lm31_y,lm31_z,lm31_v,lm32_x,lm32_y,lm32_z,lm32_v
0,0.5550499558448792,0.2388269156217575,-0.39959433674812317,0.9997703433036804,0.5472374558448792,0.22874568402767181,-0.4454878866672516,0.9997241497039795,0.5420616269111633,0.22891387343406677,-0.445509135723114,0.9997230768203735,0.5369824171066284,0.22912858426570892,-0.445639967918396,0.9996778964996338,0.5649001002311707,0.22836032509803772,-0.4390760362148285,0.9997282028198242,0.5714877843856812,0.22839763760566711,-0.4389398694038391,0.9997050762176514,0.5781318545341492,0.2284729927778244,-0.43923214077949524,0.9996526837348938,0.5303086042404175,0.22570720314979553,-0.5420629978179932,0.9997227191925049,0.5920823812484741,0.23736201226711273,-0.5151193737983704,0.9996454119682312,0.550038754940033,0.25056150555610657,-0.4174427092075348,0.9997330904006958,0.5668687224388123,0.25017431378364563,-0.4091055393218994,0.9996979832649231,0.48212262988090515,0.30620744824409485,-0.5080085396766663,0.9997731447219849,0.6480023860931396,0.30213871598243713,-0.454397052526474,0.9993942975997925,0.4027097523212433,0.40821436047554016,-0.48613807559013367,0.9793157577514648,0.6730526089668274,0.3973139524459839,-0.4094741642475128,0.9280761480331421,0.38936129212379456,0.4693095088005066,-0.41226640343666077,0.8097846508026123,0.637175977230072,0.4427817761898041,-0.3209340274333954,0.7711528539657593,0.3869398832321167,0.4842608571052551,-0.4684564769268036,0.7336384057998657,0.6381264925003052,0.45530739426612854,-0.35284891724586487,0.683319091796875,0.3902468979358673,0.4834853708744049,-0.47137895226478577,0.7238226532936096,0.6202783584594727,0.4479871690273285,-0.38387981057167053,0.663192093372345,0.3987351655960083,0.4791228771209717,-0.41738444566726685,0.6787883043289185,0.6122778654098511,0.44427239894866943,-0.335777223110199,0.5930931568145752,0.527234673500061,0.4429444968700409,-0.026134487241506577,0.9996505975723267,0.6035116314888,0.44387584924697876,0.026013068854808807,0.9992281794548035,0.47106456756591797,0.5390983819961548,0.32682210206985474,0.9842627048492432,0.5474107265472412,0.545295774936676,0.3051454722881317,0.9536542892456055,0.4817272126674652,0.6490071415901184,0.725847601890564,0.9876523613929749,0.5186788439750671,0.6552590131759644,0.694420337677002,0.973948061466217,0.4908621907234192,0.6726428270339966,0.7534014582633972,0.9819868803024292,0.5162928104400635,0.676662802696228,0.7235941290855408,0.9674047827720642,0.4545476734638214,0.6543974876403809,0.6227927803993225,0.9203730821609497,0.5221322774887085,0.6713297963142395,0.5588775277137756,0.8718785643577576
2,0.5666064023971558,0.17994973063468933,0.3739472031593323,0.9997880458831787,0.5558061003684998,0.16494405269622803,0.27788352966308594,0.99974524974823,0.5472046136856079,0.16554567217826843,0.2778579294681549,0.9997438788414001,0.537964940071106,0.16623017191886902,0.27775660157203674,0.9997031092643738,0.5783336758613586,0.1643352210521698,0.29002949595451355,0.9997484683990479,0.5853766202926636,0.16470831632614136,0.29013198614120483,0.9997269511222839,0.5931100845336914,0.16529953479766846,0.28986498713493347,0.9996793270111084,0.5225901007652283,0.175186425447464,-0.0681835412979126,0.9997448921203613,0.613106906414032,0.17663529515266418,-0.016368992626667023,0.9996755719184875,0.5543679594993591,0.1972726583480835,0.2672203779220581,0.9997550845146179,0.5792001485824585,0.19747298955917358,0.28270676732063293,0.9997239112854004,0.42367470264434814,0.27423810958862305,-0.1833021491765976,0.999782145023346,0.7313487529754639,0.28140825033187866,-0.1617784947156906,0.9994470477104187,0.3928035497665405,0.41393744945526123,-0.18928146362304688,0.9790946841239929,0.7428515553474426,0.4270257353782654,-0.0746794119477272,0.9304932951927185,0.38913291692733765,0.5399730801582336,-0.057963937520980835,0.816094696521759,0.7336141467094421,0.5387734174728394,0.18900807201862335,0.7697361707687378,0.37879079580307007,0.570503830909729,-0.05288896709680557,0.7381802201271057,0.7385199666023254,0.5687626004219055,0.22561341524124146,0.6787209510803223,0.3927639126777649,0.5672283172607422,-0.05634095147252083,0.7277275919914246,0.7205156087875366,0.5680931210517883,0.21445788443088531,0.6575502753257751,0.40499168634414673,0.5550721883773804,-0.05535823106765747,0.6816238760948181,0.7107556462287903,0.5572322607040405,0.19105689227581024,0.5918816924095154,0.47779008746147156,0.5273725390434265,0.021964211016893387,0.9996395707130432,0.6277096271514893,0.5332448482513428,-0.02256895788013935,0.9992603063583374,0.44109368324279785,0.686453104019165,0.3790853023529053,0.9831072092056274,0.6157546639442444,0.7217339873313904,0.2649126648902893,0.9558542370796204,0.4198989272117615,0.8242292404174805,0.6904296278953552,0.9848382472991943,0.6001469492912292,0.8990562558174133,0.4741206467151642,0.9731085300445557,0.4099215865135193,0.8528742790222168,0.7183510065078735,0.9782028794288635,0.5789843201637268,0.9346123933792114,0.4954671859741211,0.9662221074104309,0.43955856561660767,0.8153218030929565,0.6927558183670044,0.9106549024581909,0.676440417766571,0.8896172046661377,0.41584914922714233,0.8633747696876526
3,0.5654246211051941,0.17979228496551514,0.2568627893924713,0.9997966885566711,0.5549702048301697,0.16515842080116272,0.16203902661800385,0.9997528195381165,0.5465126037597656,0.1657305806875229,0.16209331154823303,0.9997522830963135,0.5373995900154114,0.16639599204063416,0.16209934651851654,0.9997141361236572,0.577751100063324,0.16460148990154266,0.18295402824878693,0.9997547268867493,0.5850789546966553,0.1649327278137207,0.18303807079792023,0.9997352957725525,0.5929883718490601,0.16547204554080963,0.18284225463867188,0.9996896982192993,0.5223028659820557,0.17552225291728973,-0.15413735806941986,0.9997537732124329,0.6131089925765991,0.17661716043949127,-0.06242528185248375,0.9996920824050903,0.5530798435211182,0.19707846641540527,0.16200436651706696,0.9997692108154297,0.5786318778991699,0.19703280925750732,0.18928802013397217,0.999742329120636,0.42230597138404846,0.2742084860801697,-0.2503994107246399,0.9997876286506653,0.7246427536010742,0.28139910101890564,-0.16170360147953033,0.9994918704032898,0.39330533146858215,0.41485831141471863,-0.2623613774776459,0.9749981760978699,0.7406262159347534,0.42585673928260803,-0.06628554314374924,0.9300750494003296,0.3891439437866211,0.539993405342102,-0.14331257343292236,0.8163262009620667,0.7321733832359314,0.5360984206199646,0.17809610068798065,0.7620817422866821,0.3792400658130646,0.5706619620323181,-0.14135140180587769,0.7379080653190613,0.7373307347297668,0.5663880705833435,0.216096892952919,0.6711917519569397,0.39318788051605225,0.5678408145904541,-0.1389819085597992,0.7267947196960449,0.7199594974517822,0.5637813806533813,0.18182149529457092,0.6500161290168762,0.4052608609199524,0.5556790828704834,-0.13639311492443085,0.6781314611434937,0.7106196880340576,0.55263751745224,0.17160247266292572,0.5884645581245422,0.4763176739215851,0.5289897322654724,0.01688327081501484,0.9996318817138672,0.6269380450248718,0.5348867774009705,-0.017378732562065125,0.9992947578430176,0.43646952509880066,0.6860993504524231,0.3728094696998596,0.9808809161186218,0.6155999302864075,0.7144818902015686,0.26554402709007263,0.9578201770782471,0.4182625114917755,0.8232890367507935,0.6934914588928223,0.9825402498245239,0.6047937870025635,0.8916302919387817,0.4740908145904541,0.9717891216278076,0.4099699556827545,0.8527044653892517,0.7233966588973999,0.9747076034545898,0.593185544013977,0.9212772250175476,0.4953429102897644,0.9641388654708862,0.4378544092178345,0.8123631477355957,0.6956310868263245,0.9082590937614441,0.6665578484535217,0.881946325302124,0.4162057340145111,0.8616124987602234
4,0.5573298931121826,0.1818748563528061,0.24011188745498657,0.9997916221618652,0.5479476451873779,0.16806229948997498,0.147164985537529,0.9997416734695435,0.5400174856185913,0.16856203973293304,0.14721685647964478,0.9997410774230957,0.5313873291015625,0.16925717890262604,0.1472192108631134,0.9997046589851379,0.5697856545448303,0.1673642098903656,0.1663537174463272,0.9997401833534241,0.5776216387748718,0.16750545799732208,0.1664453148841858,0.9997216463088989,0.5860080718994141,0.1678464114665985,0.1662236601114273,0.999676525592804,0.5184643268585205,0.17850175499916077,-0.1628686636686325,0.9997448921203613,0.6078914999961853,0.178171768784523,-0.07698151469230652,0.9996894001960754,0.5446737408638,0.19884563982486725,0.14726842939853668,0.9997720718383789,0.5706639885902405,0.19844594597816467,0.17281901836395264,0.999750018119812,0.4197539985179901,0.27430838346481323,-0.25084060430526733,0.9997837543487549,0.7199368476867676,0.28110581636428833,-0.16634948551654816,0.999528169631958,0.3931623697280884,0.4149267077445984,-0.2657669484615326,0.9658301472663879,0.7385599613189697,0.4216301739215851,-0.07261623442173004,0.9269471168518066,0.3890538811683655,0.5397676229476929,-0.1469569355249405,0.8103278279304504,0.725823700428009,0.5316774845123291,0.14369647204875946,0.7501353621482849,0.37946242094039917,0.5706619620323181,-0.14563485980033875,0.7310568690299988,0.7306419014930725,0.5634186863899231,0.1796833872795105,0.6591843366622925,0.3935055136680603,0.5678706169128418,-0.1405312716960907,0.7189896106719971,0.7149820923805237,0.5585266351699829,0.13750004768371582,0.637836754322052,0.4052881896495819,0.5557336807250977,-0.13928847014904022,0.6677798628807068,0.7069160342216492,0.5464897751808167,0.13319328427314758,0.580780029296875,0.4750806987285614,0.5287385582923889,0.017355667427182198,0.9996047019958496,0.6264168620109558,0.534877598285675,-0.017825286835432053,0.9993109107017517,0.4282997250556946,0.6826343536376953,0.3666186034679413,0.97573322057724,0.6151458024978638,0.7079041004180908,0.26223722100257874,0.9577900767326355,0.4098987877368927,0.8207183480262756,0.6912401914596558,0.9785261154174805,0.6056576371192932,0.8873457908630371,0.4756810963153839,0.9689858555793762,0.4059582054615021,0.8507770299911499,0.7215586304664612,0.9691286683082581,0.5988515019416809,0.916408360004425,0.4975524842739105,0.9598718881607056,0.4335125982761383,0.8091274499893188,0.6938573718070984,0.9032831192016602,0.6652125716209412,0.8813268542289734,0.41954854130744934,0.8568903207778931
5,0.5452620387077332,0.18788708746433258,0.23292849957942963,0.9997919201850891,0.5374650359153748,0.17385581135749817,0.14305374026298523,0.9997365474700928,0.5298426151275635,0.17432408034801483,0.1431075483560562,0.999735951423645,0.5219361782073975,0.17491526901721954,0.14310745894908905,0.9997023344039917,0.5593363642692566,0.173042431473732,0.16120825707912445,0.9997326135635376,0.5668994188308716,0.17305834591388702,0.16130222380161285,0.9997145533561707,0.5751693844795227,0.1733064502477646,0.16107822954654694,0.9996702671051025,0.5109313726425171,0.18408983945846558,-0.15442343056201935,0.9997396469116211,0.5966052412986755,0.18354736268520355,-0.07430758327245712,0.9996881484985352,0.5319833755493164,0.20356965065002441,0.14505799114704132,0.9997772574424744,0.5575553774833679,0.20353037118911743,0.1690363585948944,0.9997590780258179,0.4126763939857483,0.2759001851081848,-0.24663852155208588,0.9997841119766235,0.7069975733757019,0.2828165292739868,-0.16023372113704681,0.9995620250701904,0.39315128326416016,0.4181325137615204,-0.2647068500518799,0.9575818777084351,0.73111492395401,0.42296725511550903,-0.07258850336074829,0.9252404570579529,0.3864201605319977,0.5403378009796143,-0.1497422605752945,0.8045098781585693,0.7134286165237427,0.5312074422836304,0.11978748440742493,0.7441574335098267,0.37839779257774353,0.5711818933486938,-0.14760731160640717,0.7245224714279175,0.7174463272094727,0.5607104897499084,0.15256167948246002,0.6536232829093933,0.3925594389438629,0.5686206817626953,-0.142178475856781,0.7116273045539856,0.6992207169532776,0.5552124977111816,0.1097107008099556,0.6325476169586182,0.4033642113208771,0.5570828318595886,-0.1415947675704956,0.6586009860038757,0.6923185586929321,0.5446391701698303,0.10812995582818985,0.5786311626434326,0.4715576171875,0.5290223956108093,0.017308717593550682,0.9995850324630737,0.6222442984580994,0.5355456471443176,-0.017769118770956993,0.9993293285369873,0.42374396324157715,0.6817137598991394,0.35184529423713684,0.9717510342597961,0.611405074596405,0.7051626443862915,0.24593208730220795,0.9584633111953735,0.40667077898979187,0.8172604441642761,0.6588347554206848,0.9757394194602966,0.6057565808296204,0.8846567273139954,0.4448685050010681,0.9675279259681702,0.40421023964881897,0.8484935164451599,0.687569797039032,0.9651122093200684,0.601553738117218,0.9113763570785522,0.4650592803955078,0.9571020007133484,0.430414080619812,0.8054894208908081,0.6633983850479126,0.9013783931732178,0.6638336181640625,0.8810705542564392,0.3957345485687256,0.8562052249908447
6,0.5323018431663513,0.19251254200935364,0.2324344366788864,0.9997991919517517,0.5255119800567627,0.17818209528923035,0.14447525143623352,0.9997426271438599,0.5184149742126465,0.17849266529083252,0.14451634883880615,0.9997414946556091,0.5110132098197937,0.1789434403181076,0.1445031464099884,0.9997116923332214,0.5471455454826355,0.17761476337909698,0.16260235011577606,0.9997373819351196,0.5547568202018738,0.1776190996170044,0.16269366443157196,0.9997195601463318,0.5624728202819824,0.17784318327903748,0.1624704897403717,0.9996781349182129,0.5007253289222717,0.18778786063194275,-0.14662595093250275,0.9997454881668091,0.5832934379577637,0.18750888109207153,-0.0685276910662651,0.9996970295906067,0.5190336108207703,0.20763848721981049,0.14699742197990417,0.9997872710227966,0.5426360964775085,0.20771263539791107,0.1706942617893219,0.9997715353965759,0.4034291207790375,0.2775266170501709,-0.24196723103523254,0.9997915029525757,0.694997251033783,0.28582605719566345,-0.14332866668701172,0.9995947480201721,0.3848126232624054,0.42114102840423584,-0.25421807169914246,0.9510084986686707,0.7228221297264099,0.4252658486366272,-0.05059049651026726,0.923994243144989,0.38028159737586975,0.5405079126358032,-0.13404273986816406,0.800409734249115,0.7005263566970825,0.5309922099113464,0.13034537434577942,0.7379181385040283,0.37481334805488586,0.5713881850242615,-0.13218431174755096,0.719973087310791,0.701755166053772,0.5599796175956726,0.16506831347942352,0.6475762724876404,0.38960355520248413,0.5686195492744446,-0.13479258120059967,0.7063447833061218,0.6838030815124512,0.5539637207984924,0.134213387966156,0.6268664002418518,0.39996427297592163,0.5570747256278992,-0.12962599098682404,0.6518633365631104,0.6779111623764038,0.5435674786567688,0.1260184794664383,0.5760060548782349,0.465947687625885,0.5301694869995117,0.015271677635610104,0.9995816946029663,0.616582989692688,0.536827802658081,-0.0157354436814785,0.9993524551391602,0.42006996273994446,0.6804028749465942,0.3422607183456421,0.9683747291564941,0.6080687642097473,0.705028235912323,0.24774588644504547,0.9584639668464661,0.40435177087783813,0.8118362426757812,0.6377600431442261,0.9729952216148376,0.6063178181648254,0.8847783207893372,0.44941824674606323,0.9656027555465698,0.40216508507728577,0.8443297743797302,0.6657025814056396,0.9614775776863098,0.6003625988960266,0.9128562808036804,0.46997329592704773,0.9542580842971802,0.4288964569568634,0.8052483201026917,0.6470667719841003,0.8997899293899536,0.657776951789856,0.8801221251487732,0.4031839668750763,0.8550500869750977
7,0.5208835005760193,0.19393377006053925,0.2544829249382019,0.9998078346252441,0.5130468010902405,0.1797119826078415,0.16509675979614258,0.9997515678405762,0.5061312913894653,0.17995686829090118,0.1651320904493332,0.9997504949569702,0.4989617168903351,0.1804061383008957,0.1651057004928589,0.9997240900993347,0.5339353680610657,0.17921628057956696,0.18276475369930267,0.9997448921203613,0.5421673655509949,0.17920561134815216,0.18286165595054626,0.9997277855873108,0.5502008199691772,0.17944498360157013,0.18263666331768036,0.9996888637542725,0.48886215686798096,0.18922090530395508,-0.145126610994339,0.9997555613517761,0.5709845423698425,0.18910212814807892,-0.049219951033592224,0.9997096061706543,0.5086228847503662,0.20916971564292908,0.1649400144815445,0.9997981786727905,0.530730664730072,0.2092161625623703,0.1875704675912857,0.9997841715812683,0.3986873924732208,0.2792279124259949,-0.22490179538726807,0.9997966885566711,0.6849249601364136,0.28886136412620544,-0.12718114256858826,0.9996259212493896,0.37800779938697815,0.42112618684768677,-0.24136894941329956,0.9452869296073914,0.708462119102478,0.42557811737060547,-0.0362105630338192,0.9211918711662292,0.3734062910079956,0.5397909283638,-0.11774978041648865,0.7950608730316162,0.6883114576339722,0.530422031879425,0.13662832975387573,0.7298310995101929,0.3683193325996399,0.5713070631027222,-0.1082252636551857,0.7129197120666504,0.6901231408119202,0.5592250823974609,0.16825446486473083,0.6382759809494019,0.3836135268211365,0.5686171650886536,-0.10390516370534897,0.6985331177711487,0.6729863286018372,0.553695797920227,0.14453591406345367,0.6175269484519958,0.3941064178943634,0.5570623874664307,-0.10900038480758667,0.6426724195480347,0.6655230522155762,0.5437189936637878,0.12986935675144196,0.5697668790817261,0.4545741677284241,0.5310133695602417,0.02100091055035591,0.9995728135108948,0.6076285243034363,0.5380562543869019,-0.02150789462029934,0.9993723630905151,0.41531410813331604,0.6779566407203674,0.3461378216743469,0.9627772569656372,0.6028362512588501,0.705210268497467,0.24637587368488312,0.9588161110877991,0.4016116261482239,0.810775876045227,0.640731692314148,0.969095766544342,0.6063047051429749,0.8855581283569336,0.4484301507472992,0.9635424017906189,0.39902380108833313,0.8424423933029175,0.6683086156845093,0.9569817781448364,0.5932782888412476,0.917974054813385,0.469323068857193,0.9514801502227783,0.428789883852005,0.800735592842102,0.6513876914978027,0.8959492444992065,0.6638275980949402,0.8811768889427185,0.40440887212753296,0.8529279232025146
8,0.5136277079582214,0.19714166224002838,0.2537250816822052,0.9998125433921814,0.5049170255661011,0.18276767432689667,0.16464178264141083,0.9997555613517761,0.49812576174736023,0.18299376964569092,0.1646837443113327,0.9997548460960388,0.4909978210926056,0.18339668214321136,0.16465599834918976,0.9997314810752869,0.5246676802635193,0.1822940707206726,0.1820216327905655,0.9997461438179016,0.5328450798988342,0.18222692608833313,0.1821349710226059,0.9997294545173645,0.540948748588562,0.18239030241966248,0.18193502724170685,0.9996917843818665,0.47785040736198425,0.19193829596042633,-0.1397475004196167,0.9997612237930298,0.560314953327179,0.1915203332901001,-0.05328858643770218,0.9997161030769348,0.5024346709251404,0.212523952126503,0.16395287215709686,0.9998067617416382,0.5226468443870544,0.21247941255569458,0.18691644072532654,0.9997943043708801,0.38899654150009155,0.28000855445861816,-0.22137068212032318,0.999801754951477,0.6710129380226135,0.2911961078643799,-0.14081811904907227,0.999653160572052,0.37203606963157654,0.42103639245033264,-0.228824183344841,0.9382054805755615,0.6929419040679932,0.426975280046463,-0.04137858375906944,0.9166638851165771,0.36603376269340515,0.5394675731658936,-0.10431378334760666,0.7889921069145203,0.6740586757659912,0.5286019444465637,0.15890242159366608,0.7126372456550598,0.36045780777931213,0.5711719393730164,-0.0928795114159584,0.7063735127449036,0.6751134991645813,0.5578531622886658,0.19007542729377747,0.620495080947876,0.37656810879707336,0.5684481263160706,-0.0886329934000969,0.6914255619049072,0.657187283039093,0.5520857572555542,0.15590009093284607,0.5995485186576843,0.3868939280509949,0.5569373369216919,-0.09505174309015274,0.6333171725273132,0.6513975262641907,0.5432381629943848,0.14872537553310394,0.5551879405975342,0.4399223327636719,0.5323583483695984,0.040736548602581024,0.9995629787445068,0.5926709771156311,0.5383578538894653,-0.04129452258348465,0.9993911981582642,0.41094353795051575,0.6772483587265015,0.37561771273612976,0.9562783241271973,0.5951910018920898,0.7039403915405273,0.24341806769371033,0.9593815207481384,0.4010812044143677,0.8097934722900391,0.672426164150238,0.9652097821235657,0.6062707901000977,0.8857642412185669,0.4584016799926758,0.9620670080184937,0.3954421579837799,0.8402639627456665,0.7016097903251648,0.9531745910644531,0.5876125693321228,0.9215378761291504,0.48220887780189514,0.9492502808570862,0.4289435148239136,0.7992267608642578,0.6874627470970154,0.8919398784637451,0.676430344581604,0.8813486695289612,0.42086124420166016,0.8509228825569153
9,0.5061350464820862,0.1984645128250122,0.2227366417646408,0.9998245239257812,0.4968678653240204,0.18435078859329224,0.13569527864456177,0.9997698664665222,0.4902461767196655,0.18451955914497375,0.13574016094207764,0.9997693300247192,0.48323753476142883,0.18489839136600494,0.1357395201921463,0.9997485876083374,0.5155906677246094,0.18409165740013123,0.15348882973194122,0.9997599720954895,0.523308277130127,0.18410362303256989,0.15361638367176056,0.9997442960739136,0.5312894582748413,0.18431971967220306,0.15346792340278625,0.9997093081474304,0.4694329798221588,0.19335566461086273,-0.1500341296195984,0.9997754693031311,0.5495157241821289,0.19302909076213837,-0.06762333959341049,0.999733030796051,0.4952736794948578,0.21365100145339966,0.13895881175994873,0.9998202919960022,0.5148789882659912,0.21368083357810974,0.16253583133220673,0.999809205532074,0.37768661975860596,0.2811684310436249,-0.22330807149410248,0.9998118877410889,0.6554539799690247,0.29177284240722656,-0.14351090788841248,0.9996816515922546,0.36459729075431824,0.4209836423397064,-0.22619229555130005,0.9300137758255005,0.6768030524253845,0.42697179317474365,-0.051428377628326416,0.9172804355621338,0.35870227217674255,0.5386292338371277,-0.10610978305339813,0.7870374917984009,0.66939377784729,0.5287219285964966,0.10611198842525482,0.7191587090492249,0.3519856631755829,0.570381760597229,-0.10025084763765335,0.7053751945495605,0.6741448044776917,0.5581089854240417,0.12536035478115082,0.6274805068969727,0.36853840947151184,0.5672274231910706,-0.10123161226511002,0.6899681091308594,0.6560713648796082,0.5527076721191406,0.08486804366111755,0.6068875193595886,0.37870708107948303,0.5563435554504395,-0.09880036115646362,0.6306569576263428,0.647571861743927,0.5436520576477051,0.09360221773386002,0.5639810562133789,0.4310065805912018,0.5338311195373535,0.038774337619543076,0.9995750188827515,0.5802185535430908,0.5385699272155762,-0.039319537580013275,0.9994192123413086,0.4092459976673126,0.6741085052490234,0.3579113185405731,0.9536557197570801,0.589015007019043,0.6953962445259094,0.27527084946632385,0.9601170420646667,0.40073323249816895,0.8090968132019043,0.6452292203903198,0.9644030928611755,0.6072374582290649,0.8721779584884644,0.5242730975151062,0.9618018865585327,0.395551860332489,0.8405932784080505,0.6728829741477966,0.9526216983795166,0.5875806212425232,0.9032198786735535,0.5508269667625427,0.9490612745285034,0.4280538260936737,0.7999544739723206,0.6469534039497375,0.8937218189239502,0.6756455898284912,0.8815141916275024,0.5012418627738953,0.8538997173309326
10,0.5009850859642029,0.19874650239944458,0.20789526402950287,0.9998353719711304,0.4912128150463104,0.1845223754644394,0.12624932825565338,0.9997830986976624,0.4846057593822479,0.18461613357067108,0.126257985830307,0.9997830986976624,0.4776146113872528,0.18495240807533264,0.12621968984603882,0.9997647404670715,0.5095556974411011,0.1844032108783722,0.14023980498313904,0.9997720122337341,0.5169247388839722,0.18448945879936218,0.14038166403770447,0.9997571110725403,0.5243969559669495,0.18478165566921234,0.14025795459747314,0.9997237324714661,0.46204379200935364,0.19308394193649292,-0.1445666253566742,0.999789297580719,0.541054368019104,0.19335120916366577,-0.07428497821092606,0.9997476935386658,0.49030423164367676,0.21366946399211884,0.13136501610279083,0.9998328685760498,0.5093912482261658,0.21375252306461334,0.15005652606487274,0.9998223185539246,0.3682525157928467,0.2810545563697815,-0.21755105257034302,0.9998233318328857,0.6416968703269958,0.29151177406311035,-0.1452890932559967,0.999705970287323,0.34641724824905396,0.41906917095184326,-0.21287885308265686,0.9274072051048279,0.6606679558753967,0.42514505982398987,-0.09066910296678543,0.9213553071022034,0.346869558095932,0.532584547996521,-0.10596755146980286,0.7901049256324768,0.6642385125160217,0.5283564329147339,0.013615311123430729,0.7348247766494751,0.3387998938560486,0.5655182600021362,-0.10159707814455032,0.7097504734992981,0.6735396385192871,0.5575587153434753,0.02367718704044819,0.6454374194145203,0.35634347796440125,0.5611487030982971,-0.10563170909881592,0.6940580606460571,0.6582011580467224,0.5523708462715149,-0.009750635363161564,0.6255283951759338,0.36804962158203125,0.5501230955123901,-0.09972994774580002,0.6344988346099854,0.6462734341621399,0.5427783727645874,0.0026788327377289534,0.5836046934127808,0.4222046732902527,0.5349106192588806,0.0361192524433136,0.9995934963226318,0.5688171982765198,0.5385302901268005,-0.03657980635762215,0.9994423389434814,0.4073958396911621,0.6738701462745667,0.34763067960739136,0.9526618123054504,0.5799659490585327,0.6895363330841064,0.2899360954761505,0.9606640338897705,0.3998013436794281,0.8087772130966187,0.6246935725212097,0.9645857214927673,0.604586124420166,0.8531843423843384,0.5407792925834656,0.9616052508354187,0.39400947093963623,0.8377898335456848,0.6508031487464905,0.9531188011169434,0.578008770942688,0.8786478042602539,0.5682387351989746,0.9494944214820862,0.427644819021225,0.800423264503479,0.6253666281700134,0.8972067832946777,0.6613015532493591,0.8753846883773804,0.534300684928894,0.8581284284591675
